Title,Author,Goodreads Rating,Kindle Price,Hardcover Price New,Hardcover Price Used,Paperback Price New,Paperback Price New,link
"Clothes, Clothes, Clothes. Music, Music, Music. Boys, Boys, Boys","Viv Albertine","4.25","4.68","—","39.87","7.37","8.28","https://www.amazon.co.uk/gp/product/0571297757"
"Naked","David Sedaris","4.09","6.99","—","6.99","8.19","9.46","https://www.amazon.co.uk/gp/product/0316777730"
"The Immeasurable World: Journeys in Desert Places","William Atkins","3.48","6.99","16.00","4.99","9.01","5.74","https://www.amazon.co.uk/gp/product/0571319726"
"Sea Room: An Island Life in the Hebrides","Adam Nicolson","3.94","—","—","9.52","8.19","1.57","https://www.amazon.co.uk/gp/product/0865476365"
"The Road to Lichfield","Penelope Lively","3.79","4.99","—","10.40","7.37","4.23","https://www.amazon.co.uk/gp/product/0802136257"
"To Be a Machine : Adventures Among Cyborgs, Utopians, Hackers, and the Futurists Solving the Modest Problem of Death","Mark O'Connell","3.79","6.99","—","14.15","8.19","3.82","https://www.amazon.co.uk/gp/product/0385540418"
"The Wife","Meg Wolitzer","3.69","—","—","—","—","—","https://www.amazon.co.uk/gp/product/0743456661"
"Man's Search for Meaning","Viktor E. Frankl","4.36","4.99","10.65","13.99","—","9.99","https://www.amazon.co.uk/gp/product/080701429X"
"Utopia Parkway: The Life and Work of Joseph Cornell","Deborah Solomon","4.07","9.60","—","11.28","12.63","13.46","https://www.amazon.co.uk/gp/product/0878466843"
"The House of Wittgenstein: A Family at War","Alexander Waugh","3.74","8.60","—","8.05","10.59","0.70","https://www.amazon.co.uk/gp/product/0385520603"
"Lincoln in the Bardo","George Saunders","3.76","5.78","15.19","1.59","7.37","3.10","https://www.amazon.co.uk/gp/product/0812995341"
"Resurrection Bay (Caleb Zelic, #1)","Emma Viskic","3.77","—","—","—","—","—","https://www.amazon.co.uk/gp/product/1760068769"
"Building Microservices: Designing Fine-Grained Systems","Sam Newman","4.18","20.75","—","—","24.11","17.95","https://www.amazon.co.uk/gp/product/1491950358"
"Dear Ijeawele, or a Feminist Manifesto in Fifteen Suggestions","Chimamanda Ngozi Adichie","4.53","2.99","10.00","5.16","4.29","5.66","https://www.amazon.co.uk/gp/product/152473313X"
"How Dare the Sun Rise: Memoirs of a War Child","Sandra Uwiringiyimana","4.27","—","12.72","4.66","7.74","3.09","https://www.amazon.co.uk/gp/product/0062470140"
"Believe Me: A Memoir of Love, Death, and Jazz Chickens","Eddie Izzard","3.82","7.99","—","0.70","7.37","0.70","https://www.amazon.co.uk/gp/product/0399175830"
"The Alice Network","Kate Quinn","4.28","6.99","—","—","9.01","6.20","https://www.amazon.co.uk/gp/product/0062654195"
"Let Us Now Praise Famous Men","James Agee","4.05","—","—","37.12","14.99","—","https://www.amazon.co.uk/gp/product/0141188499"
"Lit","Mary Karr","3.92","6.99","—","9.45","10.99","5.99","https://www.amazon.co.uk/gp/product/0060596988"
"Me Talk Pretty One Day","David Sedaris","3.99","5.99","—","7.61","8.19","5.79","https://www.amazon.co.uk/gp/product/0349113912"
"All Over But the Shoutin'","Rick Bragg","4.11","—","—","—","—","2.13","https://www.amazon.co.uk/gp/product/0679774025"
