title,author,isbn,avg rating,shelves,date added
More Manto: English Translations of Manto's Writings,"Manto, Saadat Hasan",,4,"to-read
[edit]","Jun 26, 2020"
The Lady's Handbook for Her Mysterious Illness,"Ramey, Sarah",385534078,3.69,"to-read
[edit]","Jun 26, 2020"
"Bland Fanatics: Liberals, the West, and the Afterlives of Empire","Mishra, Pankaj",374293317,4.02,"to-read
[edit]","Jun 26, 2020"
"Time of the Magicians: Wittgenstein, Benjamin, Cassirer, Heidegger, and the Decade That Reinvented Philosophy","Eilenberger, Wolfram",,3.91,"to-read
[edit]","Jun 26, 2020"
The Mystery of Henri Pick,"Foenkinos, David",,3.65,"to-read
[edit]","Jun 21, 2020"
Such a Fun Age,"Reid, Kiley",052554190X,3.85,"to-read
[edit]","Jun 21, 2020"
Rainbow Milk,"Mendez, Paul",349700591,4.04,"to-read
[edit]","Jun 21, 2020"
Bazaar: Vibrant vegetarian and plant-based recipes,"Ghayour, Sabrina",,4.19,"to-read
[edit]","Jun 19, 2020"
Barracoon: The Story of the Last Slave,"Hurston, Zora Neale",8297665,4.01,"to-read
[edit]","Jun 03, 2020"
The Good Immigrant,"Shukla, Nikesh *",178352295X,4.34,"to-read
[edit]","Jun 03, 2020"
Inglorious Empire: What the British Did to India,"Tharoor, Shashi",1849048088,4.16,"to-read
[edit]","Jun 03, 2020"
Men We Reaped,"Ward, Jesmyn *",160819521X,4.25,"to-read
[edit]","Jun 03, 2020"
Freedom Is a Constant Struggle,"Davis, Angela Y.",1608465640,4.38,"to-read
[edit]","Jun 03, 2020"
"Ramble Book: Musings on Childhood, Friendship, Family and 80s Pop Culture","Buxton, Adam",,4.25,"to-read
[edit]","May 31, 2020"
The Vanishing Half,"Bennett, Brit *",,4.29,"to-read
[edit]","May 21, 2020"
South from Granada: A Sojourn in Southern Spain,"Brenan, Gerald",156836184X,3.89,"to-read
[edit]","May 08, 2020"
Family Romance: A Love Story,"Lanchester, John",399153004,3.85,"to-read
[edit]","Apr 24, 2020"
Leaving Atlanta,"Jones, Tayari *",446690899,4.02,"to-read
[edit]","Apr 23, 2020"
Silver Sparrow,"Jones, Tayari *",1565129903,3.91,"to-read
[edit]","Apr 23, 2020"
Fahrenheit 451,"Hamilton, Tim *",,3.91,"to-read
[edit]","Apr 19, 2020"
"Nudge: Improving Decisions About Health, Wealth, and Happiness","Thaler, Richard H.",014311526X,3.84,"to-read
[edit]","Apr 09, 2020"
Misbehaving: The Making of Behavioral Economics,"Thaler, Richard H.",039335279X,4.19,"to-read
[edit]","Apr 09, 2020"
Test Driven Development: By Example,"Beck, Kent",321146530,4.08,"to-read
[edit]","Mar 06, 2020"
Overcoming Relationship Problems,"Crowe, Michael",1845290666,3.4,"to-read
[edit]","Mar 02, 2020"
The Quarry,"Banks, Iain",,3.6,"to-read
[edit]","Feb 29, 2020"
The Crow Road,"Banks, Iain",,4.05,"to-read
[edit]","Feb 29, 2020"
How to Have Impossible Conversations: A Very Practical Guide,"Boghossian, Peter *",738285323,3.98,"to-read
[edit]","Feb 07, 2020"
"The Hate U Give (The Hate U Give, #1)","Thomas, Angie *",62498533,4.51,"to-read
[edit]","Feb 05, 2020"
Another Day in the Death of America: A Chronicle of Ten Short Lives,"Younge, Gary",1568589751,4.24,"to-read
[edit]","Feb 05, 2020"
Meetings with Remarkable Manuscripts,"Hamel, Christopher de",241003040,4.45,"to-read
[edit]","Feb 05, 2020"
All Out War: The Full Story of How Brexit Sank Britain's Political Class,"Shipman, Tim",,4.33,"to-read
[edit]","Feb 05, 2020"
The Sellout,"Beatty, Paul",374260508,3.76,"to-read
[edit]","Feb 05, 2020"
"East West Street: On the Origins of ""Genocide"" and ""Crimes Against Humanity""","Sands, Philippe",385350716,4.47,"to-read
[edit]","Feb 05, 2020"
Between the World and Me,"Coates, Ta-Nehisi",812993543,4.39,"to-read
[edit]","Feb 02, 2020"
The Sixth Extinction: An Unnatural History,"Kolbert, Elizabeth",805092994,4.13,"to-read
[edit]","Feb 02, 2020"
The Miniaturist,"Burton, Jessie",62306812,3.6,"to-read
[edit]","Feb 02, 2020"
The Reason I Jump: The Inner Voice of a Thirteen-Year-Old Boy with Autism,"Higashida, Naoki",812994868,3.81,"to-read
[edit]","Jan 30, 2020"
The Luminaries,"Catton, Eleanor",316074314,3.72,"to-read
[edit]","Jan 30, 2020"
